Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
116.416117,39.999631,2016/10/31,33,29,495,73290,67.54,2,1,1,1,1,1987,4,6,0.25,1,1,0,7,73084
116.437964,39.99799,2017/7/12,96,58,900,107502,83.72,2,1,1,1,3,2009,4,6,0.5,1,0,0,7,105938
116.326632,39.992911,2016/10/10,195,11,720,120000,60,2,1,1,1,4,1988,4,4,0.333,0,0,1,8,108638
116.31905,39.992388,2017/2/26,42,39,390,102903,37.9,1,1,1,1,4,1982,4,2,0.25,0,0,1,8,87274
116.380145,39.985424,2016/12/23,150,189,425,76854,55.3,2,1,1,1,4,1987,3,2,0.5,0,0,1,8,82764
,,,,,,,,,,,,,,,,,,,,,
,,,(Intercept)                      communityAverage                   renovationCondition ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
                     86058.3599507111                          0.0844013830                      -5612.3077937655 ,,,,,,,,,,,,,,,,,,,,,
                                  DOM                     fiveYearsProperty                                square ,,,,,,,,,,,,,,,,,,,,,
                       -37.5902455815                     -15689.8878512452                       -427.6620566165 ,,,,,,,,,,,,,,,,,,,,,
                            followers                           ladderRatio                                subway ,,,,,,,,,,,,,,,,,,,,,
                        31.9237459279                       2667.5287616775                      -7229.3854044042 ,,,,,,,,,,,,,,,,,,,,,
                           livingRoom                               kitchen                     buildingStructure ,,,,,,,,,,,,,,,,,,,,,
                     -2228.0667849369                      -1883.7212295439                       2372.3295734143 ,,,,,,,,,,,,,,,,,,,,,
                 communityAverage:DOM  communityAverage:renovationCondition                         DOM:followers ,,,,,,,,,,,,,,,,,,,,,
                         0.0017478704                          0.0922142156                         -0.6620283095 ,,,,,,,,,,,,,,,,,,,,,
        renovationCondition:followers                 DOM:fiveYearsProperty               renovationCondition:DOM ,,,,,,,,,,,,,,,,,,,,,
                       -33.9535879833                         49.6152580672                        -14.7425435807 ,,,,,,,,,,,,,,,,,,,,,
                   square:ladderRatio            communityAverage:followers           communityAverage:livingRoom ,,,,,,,,,,,,,,,,,,,,,
                       211.7487657998                          0.0013630614                         -0.0215626953 ,,,,,,,,,,,,,,,,,,,,,
                       DOM:livingRoom               communityAverage:subway          communityAverage:ladderRatio ,,,,,,,,,,,,,,,,,,,,,
                       -10.6590607488                          0.0943429587                          0.0116085426 ,,,,,,,,,,,,,,,,,,,,,
                    square:livingRoom                ladderRatio:livingRoom                       DOM:ladderRatio ,,,,,,,,,,,,,,,,,,,,,
                       108.2880121824                      -5560.2430003326                         12.3601038276 ,,,,,,,,,,,,,,,,,,,,,
                   ladderRatio:subway renovationCondition:fiveYearsProperty           fiveYearsProperty:followers ,,,,,,,,,,,,,,,,,,,,,
                      2131.0001359771                       1738.7964371711                         65.4251997870 ,,,,,,,,,,,,,,,,,,,,,
      renovationCondition:ladderRatio                  followers:livingRoom           renovationCondition:kitchen ,,,,,,,,,,,,,,,,,,,,,
                     -1425.9679738586                          3.2575592285                                    NA ,,,,,,,,,,,,,,,,,,,,,
             fiveYearsProperty:subway    communityAverage:buildingStructure                 DOM:buildingStructure ,,,,,,,,,,,,,,,,,,,,,
                      -416.6709723810                          0.0100967169                         -4.5965397905 ,,,,,,,,,,,,,,,,,,,,,
renovationCondition:buildingStructure               communityAverage:square              subway:buildingStructure ,,,,,,,,,,,,,,,,,,,,,
                      -258.4023451281                         -0.0008266206                      -1120.2309398491,,,,,,,,,,,,,,,,,,,,,
